CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
1,187,63,1,2349.06,2,1,Inactive customer
2,96,10,6,922.62,4,3,New customer
3,47,35,4,881.22,3,1,Inactive customer
4,294,5,1,3815.16,2,3,New customer
5,732,4,31,41868.11,29,0,Regular customer
6,37,16,3,2053.4,8,3,New customer
7,264,11,12,4861.49,12,3,New customer
8,188,4,8,4010.69,9,3,New customer
9,316,4,21,12636.8,20,0,Regular customer
10,528,5,18,17741.24,26,0,Regular customer
11,87,18,6,5542.36,10,3,New customer
12,58457,11,13,25965518.2,110,2,Profitable customer
13,445,5,14,24193.52,23,3,New customer
14,434,17,8,35265.23,24,3,New customer
15,247,25,8,17161.14,17,3,New customer
16,111,4,7,1551.15,3,3,New customer
17,320,5,15,7345.29,20,3,New customer
18,18,7,2,339.1,5,3,New customer
19,36,40,7,774.44,5,1,Inactive customer
20,26,59,3,251.98,2,1,Inactive customer
21,156,32,4,11455.86,10,1,Inactive customer
22,30,42,1,139.76,1,1,Inactive customer
23,251,5,13,5230.98,19,3,New customer
24,42,41,3,351.06,3,1,Inactive customer
25,94,5,5,2265.75,10,3,New customer
26,957,3,22,35229.52,34,0,Regular customer
27,3858,3,52,114028.95,41,0,Regular customer
28,304,47,4,5845.68,6,1,Inactive customer
29,79,3,9,750.84,8,3,New customer
30,39,18,3,602.63,2,3,New customer
31,36,2,2,537.0,2,3,New customer
32,123,4,6,3461.61,12,3,New customer
33,115,55,3,5802.5,14,1,Inactive customer
34,56,32,5,427.31,4,1,Inactive customer
35,6,63,1,49.99,1,1,Inactive customer
36,39,2,8,1195.41,6,3,New customer
37,548,2,14,23431.21,20,3,New customer
38,251,5,10,6580.88,8,3,New customer
39,597,3,27,29915.37,26,0,Regular customer
40,270,24,13,3499.2,9,3,New customer
41,638,6,16,37273.21,39,0,Regular customer
42,33273,3,62,3059273.52,96,0,Regular customer
43,8,40,1,75.48,1,1,Inactive customer
44,8,63,1,75.48,1,1,Inactive customer
45,435,4,14,20953.36,21,3,New customer
46,516,6,14,14164.84,22,3,New customer
47,29,3,4,295.92,4,3,New customer
48,314,3,15,8863.08,14,3,New customer
49,356,4,17,13089.16,19,3,New customer
50,191,6,3,1979.79,7,3,New customer
51,67669,1,77,31966480.14,134,2,Profitable customer
52,667,1,3,55547.8,14,3,New customer
53,800,3,11,39119.06,25,3,New customer
54,414,5,25,65626.88,25,0,Regular customer
55,48,33,2,349.92,1,1,Inactive customer
56,1192,4,24,93531.57,46,0,Regular customer
57,40,12,4,130.72,1,3,New customer
58,271,3,22,4340.73,8,3,New customer
59,442,5,13,18207.51,12,3,New customer
60,17,21,5,295.21,3,3,New customer
61,28,7,7,683.35,6,3,New customer
62,174,5,12,5437.51,15,3,New customer
63,318,3,13,9916.47,12,3,New customer
64,18,18,2,290.4,3,3,New customer
65,95,4,24,2178.73,13,0,Regular customer
66,145,10,9,7234.36,12,3,New customer
